frame,decision,object,distance,reason,track_id
0,NONE,,,No threat detected,-1
1,NONE,,,No threat detected,-1
2,STEER LEFT,car,6.249999609375024,Object in center path,1
2,STEER LEFT,car,6.6666662222222515,Object in center path,2
2,BRAKE,car,5.263157617728546,Object close,3
2,BRAKE,car,5.319148653236773,Object close,4
2,BRAKE,car,5.813953150351561,Object close,5
2,STEER LEFT,car,5.882352595155729,Object in center path,6
2,STEER LEFT,car,6.6666662222222515,Object in center path,7
2,STEER LEFT,car,5.61797721247319,Object in center path,8
2,BRAKE,car,6.060605693296624,Object close,9
2,STEER LEFT,car,6.211179738436041,Object in center path,10
2,BRAKE,car,5.586591866670846,Object close,11
2,BRAKE,car,5.714285387755121,Object close,12
2,BRAKE,car,4.08163248646398,Object close,13
2,BRAKE,car,5.586591866670846,Object close,14
2,BRAKE,car,5.988023593531521,Object close,15
2,BRAKE,car,6.172839125133387,Object close,16
2,BRAKE,car,6.493506071850255,Object close,19
3,STEER LEFT,car,6.211179738436041,Object in center path,1
3,STEER LEFT,car,6.756756300219169,Object in center path,2
3,BRAKE,car,5.263157617728546,Object close,3
3,BRAKE,car,5.319148653236773,Object close,4
3,BRAKE,car,5.813953150351561,Object close,5
3,STEER LEFT,car,5.882352595155729,Object in center path,6
3,STEER LEFT,car,6.756756300219169,Object in center path,7
3,STEER LEFT,car,5.649717194931232,Object in center path,8
3,BRAKE,car,6.09756060380728,Object close,9
3,STEER LEFT,car,6.329113523473827,Object in center path,10
3,BRAKE,car,5.649717194931232,Object close,11
3,BRAKE,car,5.494505192609605,Object close,12
3,BRAKE,car,4.08163248646398,Object close,13
3,BRAKE,car,5.780346486685174,Object close,14
3,BRAKE,car,6.060605693296624,Object close,15
3,BRAKE,car,6.134968948774911,Object close,16
3,BRAKE,car,6.249999609375024,Object close,19
3,BRAKE,car,6.369426345896411,Object close,20
3,STEER LEFT,car,4.9019605440215415,Object in center path,21
4,STEER LEFT,car,6.172839125133387,Object in center path,1
4,STEER LEFT,car,6.756756300219169,Object in center path,2
4,BRAKE,car,5.263157617728546,Object close,3
4,BRAKE,car,5.291005011057936,Object close,4
4,BRAKE,car,5.813953150351561,Object close,5
4,STEER LEFT,car,5.917159413185834,Object in center path,6
4,STEER LEFT,car,6.711408945543024,Object in center path,7
4,STEER LEFT,car,5.649717194931232,Object in center path,8
4,BRAKE,car,6.134968948774911,Object close,9
4,STEER LEFT,car,6.329113523473827,Object in center path,10
4,BRAKE,car,5.747126106487006,Object close,11
4,BRAKE,car,5.714285387755121,Object close,12
4,BRAKE,car,4.08163248646398,Object close,13
4,BRAKE,car,5.747126106487006,Object close,14
4,BRAKE,car,6.024096022644818,Object close,15
4,BRAKE,car,6.172839125133387,Object close,16
4,BRAKE,car,5.847952874388721,Object close,19
4,BRAKE,car,6.8027206256652635,Object close,20
4,STEER LEFT,car,4.926108131718811,Object in center path,21
5,STEER LEFT,car,6.249999609375024,Object in center path,1
5,STEER LEFT,car,6.756756300219169,Object in center path,2
5,BRAKE,car,5.291005011057936,Object close,3
5,BRAKE,car,5.263157617728546,Object close,4
5,BRAKE,car,5.847952874388721,Object close,5
5,STEER LEFT,car,5.813953150351561,Object in center path,6
5,STEER LEFT,car,6.622516117714164,Object in center path,7
5,STEER LEFT,car,5.555555246913597,Object in center path,8
5,BRAKE,car,6.09756060380728,Object close,9
5,STEER LEFT,car,6.329113523473827,Object in center path,10
5,BRAKE,car,5.847952874388721,Object close,11
5,BRAKE,car,5.681817858987621,Object close,12
5,BRAKE,car,4.065040485160956,Object close,13
5,BRAKE,car,5.714285387755121,Object close,14
5,BRAKE,car,5.988023593531521,Object close,15
5,BRAKE,car,6.134968948774911,Object close,16
5,BRAKE,car,5.882352595155729,Object close,19
5,STEER LEFT,car,4.97512413059084,Object in center path,21
5,STEER LEFT,car,4.20168049572771,Object in center path,22
6,STEER LEFT,car,6.249999609375024,Object in center path,1
6,STEER LEFT,car,6.8027206256652635,Object in center path,2
6,BRAKE,car,5.291005011057936,Object close,3
6,BRAKE,car,5.263157617728546,Object close,4
6,BRAKE,car,5.813953150351561,Object close,5
6,STEER LEFT,car,5.847952874388721,Object in center path,6
6,STEER LEFT,car,6.711408945543024,Object in center path,7
6,STEER LEFT,car,5.494505192609605,Object in center path,8
6,BRAKE,car,6.249999609375024,Object close,9
6,STEER LEFT,car,6.289307780546681,Object in center path,10
6,BRAKE,car,5.747126106487006,Object close,11
6,BRAKE,car,5.649717194931232,Object close,12
6,BRAKE,car,4.065040485160956,Object close,13
6,BRAKE,car,5.714285387755121,Object close,14
6,BRAKE,car,5.952380598072583,Object close,15
6,BRAKE,car,6.134968948774911,Object close,16
6,BRAKE,car,5.813953150351561,Object close,19
6,STEER LEFT,car,5.235601820125559,Object in center path,21
6,STEER LEFT,car,4.2735040908758934,Object in center path,22
7,STEER LEFT,car,6.249999609375024,Object in center path,1
7,STEER LEFT,car,6.756756300219169,Object in center path,2
7,BRAKE,car,5.291005011057936,Object close,3
7,BRAKE,car,5.263157617728546,Object close,4
7,BRAKE,car,5.780346486685174,Object close,5
7,STEER LEFT,car,5.847952874388721,Object in center path,6
7,STEER LEFT,car,6.849314599362014,Object in center path,7
7,STEER LEFT,car,5.555555246913597,Object in center path,8
7,BRAKE,car,6.211179738436041,Object close,9
7,STEER LEFT,car,6.369426345896411,Object in center path,10
7,BRAKE,car,5.714285387755121,Object close,11
7,BRAKE,car,5.882352595155729,Object close,12
7,BRAKE,car,4.08163248646398,Object close,13
7,BRAKE,car,5.813953150351561,Object close,14
7,BRAKE,car,5.952380598072583,Object close,15
7,BRAKE,car,6.134968948774911,Object close,16
7,BRAKE,car,5.917159413185834,Object close,19
7,STEER LEFT,car,5.714285387755121,Object in center path,21
7,STEER LEFT,car,4.347825897920613,Object in center path,22
8,STEER LEFT,car,6.211179738436041,Object in center path,1
8,STEER LEFT,car,6.711408945543024,Object in center path,2
8,BRAKE,car,5.291005011057936,Object close,3
8,BRAKE,car,5.291005011057936,Object close,4
8,BRAKE,car,5.780346486685174,Object close,5
8,STEER LEFT,car,5.988023593531521,Object in center path,6
8,STEER LEFT,car,6.711408945543024,Object in center path,7
8,STEER LEFT,car,5.586591866670846,Object in center path,8
8,BRAKE,car,6.289307780546681,Object close,9
8,STEER LEFT,car,6.369426345896411,Object in center path,10
8,BRAKE,car,5.714285387755121,Object close,11
8,BRAKE,car,5.917159413185834,Object close,12
8,BRAKE,car,4.08163248646398,Object close,13
8,BRAKE,car,5.847952874388721,Object close,14
8,BRAKE,car,5.917159413185834,Object close,15
8,BRAKE,car,6.134968948774911,Object close,16
8,BRAKE,car,5.988023593531521,Object close,19
