frame,id,x,y
2,1,2033,927
2,2,2362,1245
2,3,3396,393
2,4,3219,609
2,5,3236,387
2,6,2378,962
2,7,2020,631
2,8,1747,999
2,9,2734,1306
2,10,2085,821
2,11,2939,1805
2,12,3503,2025
2,13,3404,612
2,14,3545,1864
2,15,3143,323
2,16,3322,138
2,17,3540,1012
2,19,2983,1535
3,1,2043,934
3,2,2371,1251
3,3,3396,393
3,4,3219,609
3,5,3235,387
3,6,2385,969
3,7,2025,634
3,8,1751,1004
3,9,2740,1313
3,10,2089,826
3,11,2948,1814
3,12,3510,2038
3,13,3404,612
3,14,3549,1868
3,15,3143,322
3,16,3322,138
3,17,3540,1012
3,19,2990,1541
3,20,2742,1479
3,21,1874,1488
4,1,2051,943
4,2,2378,1258
4,3,3396,393
4,4,3219,608
4,5,3235,387
4,6,2392,974
4,7,2030,639
4,8,1753,1011
4,9,2744,1316
4,10,2095,831
4,11,2959,1823
4,12,3521,2043
4,13,3404,612
4,14,3552,1874
4,15,3142,323
4,16,3322,139
4,17,3540,1012
4,19,2999,1547
4,20,2747,1483
4,21,1871,1496
5,1,2058,950
5,2,2384,1264
5,3,3396,392
5,4,3219,609
5,5,3235,387
5,6,2395,980
5,7,2038,645
5,8,1757,1020
5,9,2751,1326
5,10,2102,835
5,11,2967,1829
5,12,3527,2050
5,13,3405,612
5,14,3555,1876
5,15,3141,323
5,16,3322,139
5,17,3540,1013
5,19,3006,1553
5,20,2750,1487
5,21,1868,1506
5,22,1707,1637
6,1,2063,956
6,2,2390,1272
6,3,3396,392
6,4,3219,608
6,5,3235,388
6,6,2399,983
6,7,2044,652
6,8,1758,1026
6,9,2756,1330
6,10,2109,838
6,11,2977,1839
6,12,3533,2056
6,13,3405,612
6,14,3560,1880
6,15,3139,324
6,16,3322,139
6,17,3540,1013
6,19,3009,1558
6,20,2752,1490
6,21,1866,1507
6,22,1706,1640
7,1,2069,961
7,2,2396,1281
7,3,3396,392
7,4,3219,608
7,5,3235,387
7,6,2404,987
7,7,2049,657
7,8,1760,1033
7,9,2762,1338
7,10,2114,843
7,11,2990,1847
7,12,3550,2062
7,13,3404,612
7,14,3565,1884
7,15,3139,324
7,16,3321,139
7,17,3540,1013
7,19,3014,1562
7,20,2756,1493
7,21,1866,1506
7,22,1705,1643
8,1,2076,967
8,2,2405,1288
8,3,3396,392
8,4,3218,608
8,5,3234,387
8,6,2408,992
8,7,2054,663
8,8,1763,1041
8,9,2767,1343
8,10,2119,850
8,11,2998,1856
8,12,3558,2068
8,13,3404,612
8,14,3569,1889
8,15,3138,324
8,16,3321,139
8,17,3539,1013
8,19,3019,1573
8,20,2758,1497
8,21,1866,1518
8,22,1705,1646
9,1,2084,976
9,2,2412,1295
9,3,3396,392
9,4,3218,608
9,5,3234,387
9,6,2415,996
9,7,2059,669
9,8,1764,1048
9,9,2774,1350
9,10,2124,857
9,11,3008,1864
9,12,3566,2074
9,13,3405,613
9,14,3575,1894
9,15,3137,324
9,16,3322,139
9,17,3539,1013
9,19,3024,1578
9,20,2761,1500
9,21,1864,1524
9,22,1704,1649
10,1,2094,984
10,2,2419,1301
10,3,3396,390
10,4,3217,608
10,5,3234,387
10,6,2420,1000
10,7,2064,674
10,8,1765,1055
10,9,2782,1357
10,10,2130,863
10,11,3018,1869
10,12,3577,2080
10,13,3404,613
10,14,3581,1899
10,15,3136,324
10,16,3321,139
10,17,3539,1013
10,19,3028,1583
10,20,2764,1503
10,21,1864,1529
10,22,1703,1652
11,1,2101,992
11,2,2424,1307
11,3,3396,389
11,4,3219,607
11,5,3234,387
11,6,2424,1004
11,7,2068,677
11,8,1767,1063
11,9,2787,1363
11,10,2135,868
11,11,3027,1879
11,12,3582,2084
11,13,3402,612
11,14,3583,1904
11,15,3135,324
11,16,3321,139
11,17,3539,1013
11,19,3033,1585
11,20,2767,1507
11,21,1862,1534
11,22,1703,1656
12,1,2108,999
12,2,2430,1312
12,3,3396,389
12,4,3220,607
12,5,3233,387
12,6,2429,1009
12,7,2075,681
12,8,1769,1070
12,9,2792,1367
12,10,2140,872
12,11,3040,1888
12,12,3587,2088
12,13,3401,612
12,14,3587,1908
12,15,3135,324
12,16,3321,138
12,17,3539,1013
12,19,3038,1592
12,20,2769,1511
12,21,1861,1540
12,22,1702,1659
13,1,2115,1003
13,2,2436,1319
13,3,3396,390
13,4,3220,607
13,5,3233,388
13,6,2434,1013
13,7,2083,687
13,8,1771,1077
13,9,2797,1371
13,10,2144,877
13,11,3053,1897
13,12,3594,2093
13,13,3401,612
13,14,3591,1913
13,15,3134,324
13,16,3320,139
13,17,3539,1013
13,19,3044,1596
13,20,2820,1553
13,21,1859,1545
13,22,1701,1662
14,1,2124,1009
14,2,2442,1325
14,3,3396,390
14,4,3220,606
14,5,3233,388
14,6,2439,1017
14,7,2091,695
14,8,1773,1083
14,9,2803,1377
14,10,2148,882
14,11,3063,1904
14,12,3601,2097
14,13,3401,612
14,14,3596,1917
14,15,3133,324
14,16,3320,139
14,17,3539,1013
14,19,3047,1606
14,20,2827,1559
14,21,1858,1551
14,22,1701,1665
15,1,2130,1017
15,2,2449,1334
15,3,3395,390
15,4,3220,606
15,5,3232,388
15,6,2444,1024
15,7,2097,701
15,8,1775,1090
15,9,2808,1382
15,10,2156,888
15,11,3071,1912
15,12,3609,2099
15,13,3402,612
15,14,3597,1920
15,15,3132,325
15,16,3320,139
15,17,3539,1013
15,19,3051,1607
15,20,2834,1567
15,21,1857,1556
15,22,1700,1668
16,1,2138,1025
16,2,2458,1343
16,3,3396,390
16,4,3220,606
16,5,3232,388
16,6,2449,1029
16,7,2101,706
16,8,1777,1096
16,9,2814,1387
16,10,2161,893
16,11,3080,1918
16,12,3619,2102
16,13,3402,612
16,14,3602,1926
16,15,3131,325
16,16,3320,139
16,17,3538,1013
16,19,3061,1613
16,20,2840,1573
16,21,1855,1573
16,22,1699,1671
16,29,1091,864
17,1,2145,1031
17,2,2465,1349
17,3,3396,389
17,4,3220,606
17,5,3232,388
17,6,2454,1034
17,7,2105,711
17,8,1779,1103
17,9,2819,1393
17,10,2166,901
17,11,3089,1926
17,12,3626,2105
17,13,3402,612
17,14,3607,1930
17,15,3131,325
17,16,3320,139
17,17,3538,1013
17,19,3071,1614
17,20,2847,1580
17,21,1853,1585
17,22,1698,1675
17,29,1084,859
17,30,1525,607
17,31,1541,476
18,1,2151,1038
18,2,2472,1356
18,3,3396,388
18,4,3220,606
18,5,3232,389
18,6,2459,1038
18,7,2111,717
18,8,1781,1110
18,9,2825,1398
18,10,2171,907
18,11,3101,1933
18,12,3631,2110
18,13,3403,612
18,14,3610,1936
18,15,3130,324
18,16,3320,139
18,17,3538,1013
18,19,3077,1617
18,20,2851,1589
18,21,1854,1595
18,22,1698,1678
18,29,1077,855
18,30,1530,609
18,31,1552,481
18,32,1677,398
18,33,1208,851
19,1,2157,1044
19,2,2478,1361
19,3,3395,389
19,4,3219,606
19,5,3232,389
19,6,2463,1042
19,7,2116,722
19,8,1780,1117
19,9,2830,1404
19,10,2180,912
19,11,3114,1939
19,12,3638,2115
19,13,3403,612
19,14,3613,1935
19,15,3129,325
19,16,3320,139
19,17,3538,1013
19,19,3087,1622
19,20,2857,1596
19,21,1855,1603
19,22,1697,1681
19,29,1072,852
19,30,1534,614
19,31,1557,486
19,32,1679,399
19,33,1205,849
20,1,2164,1050
20,2,2484,1367
20,3,3395,388
20,4,3219,606
20,5,3232,389
20,6,2468,1047
20,7,2121,726
20,8,1781,1124
20,9,2836,1409
20,10,2185,917
20,11,3126,1952
20,12,3645,2120
20,13,3403,612
20,14,3622,1942
20,15,3128,325
20,16,3320,139
20,17,3538,1014
20,19,3096,1637
20,20,2863,1601
20,21,1853,1607
20,22,1696,1684
20,29,1064,849
20,30,1541,622
20,31,1563,491
20,32,1687,403
20,33,1202,847
20,34,1427,249
21,1,2170,1056
21,2,2490,1374
21,3,3396,388
21,4,3218,606
21,5,3231,389
21,6,2474,1052
21,7,2127,730
21,8,1781,1130
21,9,2844,1417
21,10,2192,923
21,11,3137,1961
21,12,3652,2124
21,13,3403,613
21,14,3628,1945
21,15,3127,325
21,16,3321,139
21,17,3538,1014
21,19,3103,1646
21,20,2873,1606
21,21,1851,1616
21,22,1696,1688
21,29,1058,845
21,30,1545,625
21,31,1568,497
21,32,1691,409
21,33,1199,846
21,34,1432,254
21,36,1132,140
22,1,2180,1064
22,2,2498,1383
22,3,3396,388
22,4,3218,606
22,5,3233,388
22,6,2480,1057
22,7,2134,736
22,8,1783,1138
22,9,2850,1422
22,10,2197,928
22,11,3147,1972
22,12,3660,2129
22,13,3403,612
22,14,3633,1954
22,15,3126,325
22,16,3321,139
22,17,3538,1014
22,19,3109,1647
22,20,2883,1612
22,21,1851,1624
22,22,1695,1691
22,29,1050,843
22,30,1549,630
22,31,1575,502
22,32,1692,415
22,33,1196,844
22,34,1439,257
22,36,1135,141
23,1,2190,1070
23,2,2507,1389
23,3,3397,388
23,4,3217,606
23,5,3233,388
23,6,2485,1062
23,7,2139,741
23,8,1786,1147
23,9,2855,1428
23,10,2204,932
23,11,3158,1983
23,12,3667,2133
23,13,3403,613
23,14,3637,1961
23,15,3126,325
23,16,3320,139
23,17,3538,1014
23,19,3117,1656
23,20,2888,1618
23,21,1850,1616
23,22,1694,1694
23,29,1042,839
23,30,1554,633
23,31,1582,509
23,32,1695,419
23,33,1194,842
23,34,1443,260
23,36,1137,143
24,1,2197,1077
24,2,2514,1396
24,3,3397,388
24,4,3217,606
24,5,3233,387
24,6,2490,1067
24,7,2145,746
24,8,1788,1154
24,9,2863,1435
24,10,2209,936
24,11,3171,1993
24,12,3674,2138
24,13,3403,612
24,14,3643,1967
24,15,3125,325
24,16,3319,139
24,17,3538,1014
24,19,3122,1660
24,20,2896,1628
24,21,1849,1618
24,22,1693,1697
24,29,1035,836
24,30,1558,637
24,31,1591,515
24,32,1698,423
24,33,1191,840
24,34,1449,264
24,36,1152,154
25,1,2202,1086
25,2,2520,1403
25,3,3397,388
25,4,3216,608
25,5,3233,387
25,6,2493,1073
25,7,2150,751
25,8,1789,1161
25,9,2868,1441
25,10,2214,942
25,11,3183,2001
25,12,3681,2142
25,13,3403,612
25,14,3648,1971
25,15,3124,325
25,16,3319,139
25,17,3537,1014
25,19,3127,1660
25,20,2902,1636
25,21,1847,1638
25,22,1692,1700
25,29,1027,830
25,30,1562,641
25,31,1598,520
25,32,1700,427
25,33,1188,839
25,34,1452,268
25,36,1159,160
25,39,1267,412
26,1,2208,1094
26,2,2526,1409
26,3,3396,388
26,4,3216,607
26,5,3233,387
26,6,2497,1078
26,7,2155,758
26,8,1789,1166
26,9,2882,1446
26,10,2220,950
26,11,3196,2012
26,12,3689,2146
26,13,3404,613
26,14,3652,1975
26,15,3123,326
26,16,3319,139
26,17,3537,1014
26,19,3135,1667
26,20,2907,1641
26,21,1842,1641
26,22,1692,1703
26,29,1021,826
26,30,1567,644
26,31,1604,525
26,32,1703,432
26,33,1185,837
26,34,1456,273
26,36,1163,164
26,39,1271,415
26,40,1892,666
27,1,2214,1099
27,2,2533,1417
27,3,3396,388
27,4,3217,607
27,5,3233,387
27,6,2502,1083
27,7,2161,763
27,8,1790,1171
27,9,2890,1451
27,10,2228,956
27,11,3207,2021
27,12,3696,2151
27,13,3403,613
27,14,3654,1979
27,15,3122,325
27,16,3319,139
27,17,3537,1014
27,19,3142,1677
27,20,2913,1644
27,21,1840,1644
27,22,1691,1707
27,29,1016,821
27,30,1571,649
27,31,1611,531
27,32,1706,436
27,33,1142,818
27,34,1463,277
27,36,1168,168
27,39,1275,418
27,40,1894,669
27,41,524,2113
28,1,2222,1106
28,2,2538,1421
28,3,3396,388
28,4,3216,607
28,5,3232,387
28,6,2504,1088
28,7,2166,769
28,8,1790,1177
28,9,2896,1456
28,10,2235,962
28,11,3219,2039
28,12,3703,2156
28,13,3403,613
28,14,3661,1985
28,15,3122,325
28,16,3319,139
28,17,3537,1014
28,19,3149,1684
28,20,2921,1653
28,21,1838,1650
28,22,1690,1710
28,29,1007,818
28,30,1576,660
28,31,1617,540
28,32,1720,446
28,33,1136,813
28,34,1468,279
28,36,1174,172
28,39,1277,420
28,40,1903,676
28,41,533,2110
29,1,2230,1110
29,2,2548,1432
29,3,3396,389
29,4,3216,608
29,5,3231,387
29,6,2508,1092
29,7,2173,774
29,8,1791,1185
29,9,2900,1463
29,10,2241,968
29,11,3232,2046
29,12,3710,2160
29,13,3402,613
29,14,3666,1991
29,15,3121,325
29,16,3318,139
29,17,3537,1014
29,19,3156,1689
29,20,2927,1660
29,21,1835,1664
29,22,1690,1713
29,29,999,814
29,30,1581,665
29,31,1624,546
29,32,1723,448
29,33,1128,809
29,34,1473,286
29,36,1179,176
29,39,1278,423
29,40,1910,685
29,41,536,2102
29,43,1257,745
30,1,2238,1117
30,2,2559,1440
30,3,3396,389
30,4,3214,610
30,5,3231,386
30,6,2517,1096
30,7,2177,778
30,8,1792,1191
30,9,2904,1467
30,10,2245,971
30,11,3245,2049
30,12,3718,2165
30,13,3401,613
30,14,3670,1997
30,15,3120,326
30,16,3318,138
30,17,3537,1014
30,19,3164,1698
30,20,2934,1664
30,21,1833,1670
30,22,1689,1717
30,29,991,808
30,30,1585,669
30,31,1630,551
30,32,1727,453
30,33,1121,806
30,34,1478,290
30,36,1185,180
30,39,1280,427
